pais,plataforma,trimestre,año,unidades_vendidas,ingresos_usd
México,PlayStation,Q1,2023,8253,167007.52
Alemania,Switch,Q2,2022,7356,358550.25
China,PC,Q2,2022,18022,880740.14
Francia,PlayStation,Q2,2023,6612,240746.73
Japón,PC,Q4,2022,9414,202405.27
Estados Unidos,Xbox,Q1,2023,14805,675327.05
Francia,Switch,Q3,2024,4160,205673.04
México,PC,Q1,2023,3746,141660.46
Corea del Sur,PlayStation,Q2,2023,6050,155519.12
Japón,PC,Q2,2022,25182,1228998.36
Reino Unido,PlayStation,Q3,2022,18601,848718.97
Alemania,PC,Q3,2024,7668,333140.91
Alemania,PlayStation,Q1,2023,13474,513254.79
Reino Unido,PC,Q4,2023,2999,132401.56
Reino Unido,Switch,Q4,2023,6520,231104.51
Francia,PC,Q1,2024,8890,416424.79
España,PlayStation,Q4,2024,9342,444549.33
Japón,PC,Q1,2024,18571,578542.22
Alemania,PlayStation,Q3,2024,4807,233296.97
España,PlayStation,Q1,2022,4606,170098.98
China,PlayStation,Q1,2023,36063,1670483.19
Alemania,PlayStation,Q3,2024,5009,213189.37
Reino Unido,PC,Q2,2023,3445,139147.28
México,PC,Q4,2024,10745,396520.7
Reino Unido,PlayStation,Q3,2024,11391,276966.27
Corea del Sur,Xbox,Q2,2022,16701,544192.87
Alemania,Switch,Q3,2023,18189,475471.67
Brasil,Xbox,Q4,2024,4367,91641.23
México,PlayStation,Q3,2024,5136,180856.93
Japón,Xbox,Q4,2024,7446,223133.13
China,Switch,Q2,2024,41164,1460110.77
Estados Unidos,Switch,Q4,2024,34045,1631819.36
Reino Unido,PC,Q1,2022,15504,338616.91
Francia,PlayStation,Q4,2024,3358,87669.61
Reino Unido,Xbox,Q4,2024,7874,169743.7
Alemania,PlayStation,Q3,2024,20814,816316.16
México,Xbox,Q2,2023,9769,458002.88
Reino Unido,Xbox,Q3,2023,14629,347610.18
Francia,Switch,Q4,2023,8551,271888.27
Reino Unido,Switch,Q3,2024,5322,193407.52
España,PlayStation,Q3,2023,1679,63016.18
España,PC,Q4,2024,5692,235845.31
Reino Unido,PC,Q1,2024,12108,427020.54
Alemania,Xbox,Q4,2023,20916,855809.58
Corea del Sur,PC,Q3,2024,9930,235886.09
México,Xbox,Q1,2022,4272,103681.56
Francia,Switch,Q1,2024,7513,177069.09
Estados Unidos,Xbox,Q1,2024,43039,1570056.59
Estados Unidos,Xbox,Q4,2023,26457,541904.28
Alemania,PlayStation,Q2,2022,5422,266285.31
Corea del Sur,Xbox,Q1,2024,6379,262752.34
Estados Unidos,Xbox,Q1,2022,54522,1595606.78
Francia,Switch,Q4,2023,4302,157390.74
España,Xbox,Q4,2024,8536,251795.99
Francia,PC,Q4,2024,12499,367302.45
Corea del Sur,Switch,Q3,2024,11653,452621.26
Alemania,Switch,Q1,2022,15464,318470.68
Reino Unido,Xbox,Q4,2022,7921,380603.55
Reino Unido,PlayStation,Q1,2023,14961,410154.18
Estados Unidos,Switch,Q1,2024,21923,884093.51
China,Xbox,Q4,2022,16434,645105.62
Francia,Xbox,Q2,2024,13398,436113.87
Francia,Switch,Q1,2023,11440,551859.6
México,PlayStation,Q2,2022,11032,544028.77
China,PC,Q4,2023,49724,1823139.39
China,PC,Q1,2024,38148,1357734.53
Corea del Sur,PlayStation,Q2,2022,6838,288620.6
China,PlayStation,Q2,2023,20004,486476.58
Corea del Sur,PC,Q3,2023,3905,86116.33
México,Switch,Q3,2024,2531,99864.17
Reino Unido,Xbox,Q2,2024,3099,114412.24
México,Switch,Q2,2022,8412,300935.86
China,PC,Q3,2023,45175,1512127.46
Reino Unido,PlayStation,Q3,2022,18466,481587.21
Francia,PlayStation,Q1,2022,11796,380381.82
Estados Unidos,Xbox,Q1,2022,26701,894707.48
Estados Unidos,PC,Q1,2023,18800,482340.61
Francia,PC,Q2,2023,16999,718837.9
China,Xbox,Q1,2024,11529,509771.79
Alemania,PC,Q3,2023,11086,553084.28
Estados Unidos,PC,Q2,2023,34418,1425648.62
Brasil,PC,Q3,2024,10065,424384.78
Estados Unidos,PC,Q3,2023,18509,404906.64
China,PlayStation,Q1,2024,39373,1490069.9
Corea del Sur,PlayStation,Q3,2024,15830,550990.84
Brasil,PlayStation,Q2,2022,4539,125291.65
Brasil,PlayStation,Q1,2022,2933,76826.73
México,Switch,Q4,2022,4842,226926.88
México,Xbox,Q1,2023,1985,77232.22
Francia,Switch,Q2,2024,8874,426747.39
China,PlayStation,Q4,2024,43376,1646798.1
Alemania,Xbox,Q1,2024,13933,483952.23
Alemania,PC,Q3,2024,6987,225618.78
China,PlayStation,Q2,2022,25281,627339.78
Reino Unido,Switch,Q1,2023,15851,736300.32
Alemania,Switch,Q1,2022,11302,331085.94
Brasil,PC,Q1,2022,8840,270630.11
Alemania,PC,Q3,2023,19093,905271.54
Reino Unido,PlayStation,Q1,2023,8251,232225.61
Estados Unidos,PC,Q1,2023,23495,859959.75
Japón,PC,Q2,2022,14513,584997.27
