plataforma,juego,region,año,unidades_vendidas
PlayStation,Final Fantasy XVI,Oceanía,2023,27130
Switch,Animal Crossing,Norteamérica,2022,24564
PlayStation,Spider-Man 2,Europa,2023,6335
PlayStation,Final Fantasy XVI,Latinoamérica,2024,25989
Switch,Pokémon Escarlata/Púrpura,Latinoamérica,2024,4500
PC,Elden Ring,Asia,2023,27758
PlayStation,God of War Ragnarok,Oceanía,2024,31658
PC,Counter-Strike 2,Oceanía,2023,28107
Xbox,Gears 5,Asia,2022,8388
PlayStation,Gran Turismo 7,Latinoamérica,2024,25454
Switch,Pokémon Escarlata/Púrpura,Asia,2024,29766
PC,Cities: Skylines II,Asia,2023,15281
Switch,Mario Kart 8,Oceanía,2022,9225
PC,Dota 2,Europa,2024,33842
Switch,Splatoon 3,Norteamérica,2022,27188
Switch,Animal Crossing,Europa,2024,24296
PC,Dota 2,Oceanía,2023,35437
Xbox,Gears 5,Norteamérica,2024,2904
PC,Dota 2,Latinoamérica,2023,19258
Switch,Zelda: Tears of the Kingdom,Latinoamérica,2023,5565
PC,Cities: Skylines II,Europa,2024,31597
Switch,Pokémon Escarlata/Púrpura,Norteamérica,2023,4152
PlayStation,God of War Ragnarok,Asia,2022,24397
Switch,Zelda: Tears of the Kingdom,Asia,2022,16756
PC,Dota 2,Norteamérica,2024,23982
Switch,Splatoon 3,Latinoamérica,2023,13140
Switch,Zelda: Tears of the Kingdom,Europa,2022,18200
PC,Counter-Strike 2,Oceanía,2023,7440
Xbox,Forza Motorsport,Europa,2023,16779
Xbox,Forza Motorsport,Europa,2022,6256
Switch,Animal Crossing,Oceanía,2023,22830
PC,Counter-Strike 2,Norteamérica,2023,28624
Switch,Splatoon 3,Asia,2024,16860
Switch,Splatoon 3,Europa,2024,24909
Xbox,Halo Infinite,Latinoamérica,2024,17628
PlayStation,Gran Turismo 7,Latinoamérica,2022,8805
Xbox,Forza Motorsport,Asia,2022,22553
Switch,Pokémon Escarlata/Púrpura,Oceanía,2024,21546
Switch,Mario Kart 8,Europa,2022,21399
Switch,Zelda: Tears of the Kingdom,Asia,2023,21320
Xbox,Starfield,Oceanía,2024,4335
Xbox,Halo Infinite,Latinoamérica,2022,6391
Xbox,Forza Motorsport,Oceanía,2022,19940
Switch,Splatoon 3,Latinoamérica,2023,24476
PC,Elden Ring,Norteamérica,2022,19537
PlayStation,Gran Turismo 7,Europa,2023,21565
