fecha,tienda,juegos_vendidos,ingresos_usd
2023-01-01,Steam,34246,1265742.8
2023-01-01,Epic Games,15891,523792.39
2023-01-01,Eneba,8834,147913.12
2023-01-01,PlayStation Store,19632,804641.63
2023-01-01,Xbox Store,15618,243917.9
2023-01-01,Nintendo eShop,16545,729598.41
2023-01-06,PlayStation Store,10720,268222.75
2023-01-07,Steam,9961,258611.44
2023-01-08,Xbox Store,21067,889677.32
2023-01-13,Eneba,7684,241743.23
2023-01-15,Steam,51355,1681274.33
2023-01-18,Nintendo eShop,19613,504941.19
2023-01-24,Epic Games,5234,224898.9
2023-01-27,Nintendo eShop,15308,402642.2
2023-02-01,Epic Games,17382,356379.38
2023-02-01,Steam,30801,630030.05
2023-02-01,Nintendo eShop,15876,412655.72
2023-02-01,Xbox Store,11648,276816.13
2023-02-01,PlayStation Store,15716,373055.6
2023-02-01,Eneba,9446,264109.83
2023-02-11,Xbox Store,16005,340504.27
2023-02-14,Epic Games,17626,527228.14
2023-02-14,Epic Games,10664,265656.94
2023-02-14,Nintendo eShop,14978,637379.2
2023-02-15,Eneba,7401,285026.76
2023-02-23,Epic Games,16229,393283.88
2023-02-23,Eneba,14338,496940.84
2023-02-25,Nintendo eShop,22613,757957.46
2023-02-25,Nintendo eShop,17459,264675.6
2023-03-01,Steam,38756,813516.32
2023-03-01,Xbox Store,12424,441419.09
2023-03-01,PlayStation Store,20874,419899.65
2023-03-01,Eneba,8664,287887.3
2023-03-01,Nintendo eShop,14909,420507.64
2023-03-01,Epic Games,16033,487851.98
2023-03-02,Steam,16024,276602.17
2023-03-12,Nintendo eShop,10207,328123.04
2023-03-15,Steam,51567,2278927.27
2023-03-20,Epic Games,10636,432581.02
2023-04-01,Epic Games,14527,614236.63
2023-04-01,Nintendo eShop,15968,610859.68
2023-04-01,Xbox Store,11365,501061.53
2023-04-01,PlayStation Store,17752,543271.12
2023-04-01,Steam,33226,532669.35
2023-04-01,Eneba,10283,250426.24
2023-04-06,Steam,35512,1429230.29
2023-04-09,Eneba,12407,396930.3
2023-04-20,Xbox Store,10729,315976.69
2023-04-21,Eneba,16168,585464.59
2023-04-21,Epic Games,18148,413068.51
2023-04-24,Eneba,5156,223686.43
2023-04-26,PlayStation Store,12950,446642.93
2023-05-01,Eneba,9318,248443.64
2023-05-01,Steam,36577,645767.49
2023-05-01,Epic Games,17145,357988.78
2023-05-01,PlayStation Store,20241,468391.33
2023-05-01,Xbox Store,12895,302115.61
2023-05-01,Nintendo eShop,17747,555171.88
2023-05-03,Xbox Store,23233,963903.75
2023-05-04,PlayStation Store,29590,814546.1
2023-05-08,Epic Games,17119,555352.88
2023-05-15,Eneba,3358,147319.54
2023-05-16,Epic Games,22488,813533.02
2023-05-18,Xbox Store,8495,358836.46
2023-05-19,Nintendo eShop,9868,367078.56
2023-05-23,Nintendo eShop,26658,499585.1
2023-05-26,Nintendo eShop,15887,391134.62
2023-06-01,Eneba,8765,132927.95
2023-06-01,Nintendo eShop,17676,304419.6
